101;Microcredito;;1;Credito de negocios;101;;0;normal;;1;2000000;20;;1;1;0;3;
102;PYME;;2;Credito de negocios estacional;101;;1;Elite;;1;4000000;22.5;;2;2;0;4;
103;Consumo;;3;Credito de negocios arrendamiento;101;;2;Elite Plus;;1;10000000;23.2;;3;3;0;2;
104;AGROPECUARIO;;4;Credito de empresa;102;;;;;1;50000000;24.1;;4;4;0;4;
;;;5;Credito de empresa estacional;102;;;;;2;2000000;19;;5;5;0;5;
;;;6;Credito de empresas arrendamiento;102;;;;;2;4000000;21.5;;6;6;0;3;
;;;7;Credito de Consumo;103;;;;;2;10000000;22.8;;7;7;0;1;
;;;8;Credito de Consumo estacional;103;;;;;2;50000000;23.1;;8;8;0;2;
;;;9;Credito Rural;104;;;;;3;2000000;22;;9;9;0;4;
;;;10;Credito Agropecuario;104;;;;;3;4000000;22.5;;10;10;0;3;
;;;11; Credito Finagro;104;;;;;3;10000000;23.2;;11;11;0;5;
;;;;;;;;;;3;50000000;24.1;;12;1;1;4;
;;;;;;;;;;4;2000000;18;;13;2;1;5;
;;;;;;;;;;4;4000000;19.2;;14;3;1;3;
;;;;;;;;;;4;10000000;20.3;;15;4;1;4;
;;;;;;;;;;4;50000000;22.1;;16;5;1;5;
;;;;;;;;;;5;2000000;10;;17;6;1;4;
;;;;;;;;;;5;4000000;12.55;;18;7;1;2;
;;;;;;;;;;5;10000000;12.6;;19;8;1;3;
;;;;;;;;;;5;50000000;12.8;;20;9;1;5;
;;;;;;;;;;6;2000000;9.2;;21;10;1;3;
;;;;;;;;;;6;4000000;9.5;;22;11;1;5;
;;;;;;;;;;6;10000000;11.2;;23;1;2;5;
;;;;;;;;;;6;50000000;11.9;;24;2;2;6;
;;;;;;;;;;;;;;25;3;2;4;
;;;;;;;;;;;;;;26;4;2;5;
;;;;;;;;;;;;;;27;5;2;6;
;;;;;;;;;;;;;;28;6;2;5;
;;;;;;;;;;;;;;29;7;2;3;
;;;;;;;;;;;;;;30;8;2;4;
;;;;;;;;;;;;;;31;9;2;6;
;;;;;;;;;;;;;;32;10;2;4;
;;;;;;;;;;;;;;33;11;2;6;
